title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Hard Fought & Fairly Won,2015,TV-PG,43 min,"Reality-TV, Western",N/A,N/A,"Rich Lewis, Morgan Beasley, Marty Meierotto","It's a race against the end of winter as the melt sets in. Marty gambles on thin ice, a predator awakens in the Yaak and Rich launches a rescue mission.",N/A,N/A,N/A,N/A,10,tt5066416,N/A
The Lost Choices,2015,N/A,108 min,"Crime, Drama, Thriller",Yeong-hoon Ahn,"Yeong-hoon Ahn, Mi-hee Shin","Shin Hyeon-bin, Yoon So-yi, Hyeok-il Kim","A young women is raped while on her way home. When she is rejected by the police, because they don't believe her, she sets out for revenge. Not only on her rapist, but also the police and everybody who did not believe her.",Korean,South Korea,N/A,6.3,271,tt5066432,N/A
Valley of the Dash Dolls,2015,N/A,44 min,Reality-TV,N/A,N/A,N/A,"When you work for the Kardashians, drama is part of the job description.",N/A,N/A,N/A,N/A,N/A,tt5066478,N/A
Little Pink Lies,2015,N/A,44 min,Reality-TV,N/A,N/A,N/A,"The Kardashians help Malika and Khadijah deal with the aftermath of their nude shoot fallout. Durrani gets a car from Shalom for her birthday. While Stephanie's boyfriend is away in rehab, the dolls try to set her up with another guy.",N/A,N/A,N/A,N/A,N/A,tt5066480,N/A
The Bronx Dahmer,2015,N/A,15 min,"Short, Comedy, Drama","Patrick Hackeling, Mike West",Patrick Hackeling,"Lillo Brancato, William DeMeo, Carson Grant",Old school pizza proprietors wax derisive as their cuisine fulfills a death row inmate's last meal request.,English,United States,1 win & 2 nominations,N/A,27,tt5066544,N/A
The Tiger,2015,Not Rated,139 min,"Action, Adventure, Drama",Park Hoon-jung,Park Hoon-jung,"Choi Min-sik, Hitanshu Barik, Baek Dong-hyeon","While the Kingdom of Korea is under occupation by the Japanese, an old and experienced hunter is challenged by the hunt of the last tiger.","Korean, Japanese",South Korea,4 wins & 8 nominations total,7.2,"7,166",tt5066556,N/A
Theo Von: No Offense,2016,N/A,67 min,"Documentary, Comedy",John Asher,Theo Von,Theo Von,"Southern comedian Theo Von offers up a twisted take on his dating mishaps, meeting Brad Pitt, chasing down fugitive chimpanzees and more.",English,United States,N/A,5.8,"1,122",tt5066564,N/A
Ali Wong: Baby Cobra,2016,TV-MA,60 min,Comedy,Jaime Eliezer Karas,Ali Wong,Ali Wong,"Ali Wong's stand up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible.",English,United States,N/A,7.5,"8,243",tt5066574,N/A
The Tunnel,2016,N/A,95 min,"Comedy, Drama",Pepón Montero,"Juan Maidagán, Pepón Montero","Arturo Valls, Raúl Cimas, Natalia de Molina","""Los del Túnel"" (Those from the Tunnel) is a black comedy with a little bit of drama about a group composed by thirteen people, whose are free after to stand fifteen days trapped in a tunnel that it collapsed. United in the tragedy and remembering Norberto, the only one man who died, the group decides reunite to dinner every Friday, sharing their experience and his daily troubles. In the group are Julio, a cop who falls in love of Miriam, another member of the group; Víctor and Lupe, parents of teen girl Hiedra, who try reconcile their broken family; Rafi, a teen thug who falls in love of Hiedra; Adela, who cares of her aged parents, Camila and Segundo, and lost her husband Norberto; Walter, a Colombian immigrant who tries to move his family to Spain; José Manuel and Esteban, a homosexual couple who try announce their relation to their families; Pedro, another cop and Julio's partner, who remains in coma in a hospital; and finally Toni (the main character), a narcissist and self-worshiping family man who finds himself lost in a family composed by his two stranded teenage children, his old and idiot parents, and Sole, a wife trapped and stuck by her teenage dreams. All them are looking for enjoy the second chance to rebuild their lives, but life outside the tunnel isn't as they did expect, and their respective searching of new dreams, hopes and a new sense to life in order to better them soon crash against a reality harder than they did believe.",Spanish,Spain,1 nomination,4.9,726,tt5066598,N/A
Where My Dogs At?,2015,TV-PG,43 min,"Adventure, Family, Reality-TV",Bertram van Munster,"Elise Doganieri, Bertram van Munster","Phil Keoghan, Tanner Kloven, Josh Ahern",Attention to detail is paramount during a meaty challenge and one team faces a penalty after a costly mistake.,English,United States,N/A,N/A,61,tt5066610,N/A
